chromosome	Start	End	strand	LTB4	GENE ID
5	134517810	134518092	+	0	RN7SL541P
5	134500178	134500284	-	0	RNU6-456P
5	134436711	134492519	+	5.805345666	AC005355.1
5	134402087	134411898	-	80.19590889	CDKN2AIPNL
5	134371179	134391992	+	6561.289704	UBE2B
5	134286350	134371047	-	5.828371933	CDKL3
5	134225757	134225852	+	0	MIR3661
5	134194334	134226142	-	2473.29162	PPP2CA
5	134148935	134177038	-	1439.725725	SKP1
5	134114711	134151865	+	495.1130518	TCF7
5	133971915	134005133	-	476.1234227	VDAC1
5	133955502	133968787	-	349.8914121	C5orf15
5	133913677	133917269	+	0	WSPAR
5	133427596	133427706	-	0	MIR1289-2
5	133196455	133612564	-	5.828371933	FSTL4
5	133051962	133106449	+	1543.498762	HSPA4
5	132996985	133026604	-	174.009991	ZCCHC10
5	132948493	132948718	+	0	ATP6V0E1P1
5	132875379	132963634	-	6076.07774	AFF4
5	132872322	132875046	+	19.90404228	LEAP2
5	132866560	132868031	+	230.1397142	UQCRQ
5	132861181	132866884	-	7.624752321	GDF9
5	132848577	132848696	+	0	RNA5SP192
5	132822141	132830898	-	24.77058072	SHROOM1
5	132813587	132816797	+	0	SOWAHA
5	132747445	132754403	+	3.388778809	CCNI2
5	132692628	132737638	-	53.90678118	KIF3A
5	132673986	132682676	+	2.541584107	IL4
5	132656263	132661110	+	1.42061552	IL13
5	132630589	132664272	-	1.513130356	TH2LCRR
5	132556019	132646344	+	192.3362738	RAD50
5	132541444	132556838	-	0	IL5
5	132481609	132490798	-	3935.815298	IRF1
5	132410636	132488702	+	175.4460167	C5orf56
5	132369752	132395614	+	49.93330176	SLC22A5
5	132365490	132365599	-	0	MIR3936
5	132294443	132344206	+	1105.238875	SLC22A4
5	132257671	132273454	+	1.457092983	PDLIM4
5	132191838	132295315	-	86.24843031	P4HA2
5	132184876	132192808	+	0	P4HA2-AS1
5	132073790	132076170	+	21.56271247	CSF2
5	132060529	132063204	+	0	IL3
5	131949973	132012243	-	6.052521426	ACSL6
5	131806993	131945698	-	0	MEIKIN
5	131641714	131797063	-	9393.820126	FNIP1
5	131423921	131635236	-	124.0766892	RAPGEF6
5	131245493	131398447	+	3256.256527	CDC42SE2
5	131170810	131205426	+	71.164355	LYRM7
5	131159027	131171735	-	514.2628182	HINT1
5	130529419	130529889	+	0	ARL2BPP4
5	130386621	130386680	-	0	RNU7-53P
5	130140031	130141950	+	0	HSPA8P4
5	130114409	130114510	+	0	RNA5SP191
5	129974891	129975001	+	0	RNU6ATAC10P
5	129904472	130186634	+	2.914185967	CHSY3
5	129748079	129766732	+	0	KIAA1024L
5	129460265	129738683	+	0	ADAMTS19
5	129459559	129460689	-	0	ADAMTS19-AS1
5	129397062	129397147	-	0	MIR4460
5	129097688	129097766	+	0	MIR4633
5	129094751	129114028	+	106.1548922	ISOC1
5	128538013	129033642	+	0	SLC27A6
5	128257909	128659185	-	34.9702316	FBN2
5	128109486	128110994	+	0	KDELC1P1
5	128083766	128189688	+	124.0766892	SLC12A2
5	127940426	128083172	-	48.4201714	LINC01184
5	127784618	127787042	-	0	CUL1P1
5	127649044	127658630	+	0	CTXN3
5	127517609	127555089	+	468.5743288	PRRC1
5	127511464	127512842	-	4.26184656	HNRNPKP1
5	127290831	127465737	+	7.565651782	MEGF10
5	127143082	127143247	-	0	MRPS5P3
5	127042558	127073492	-	18.24537209	C5orf63
5	126776623	126837020	+	6581.603315	LMNB1
5	126755316	126755417	-	0	RNU6-752P
5	126737438	126737995	-	0	HSPE1P10
5	126663337	126663568	-	0	BOLA3P3
5	126631722	126636287	+	0	TEX43
5	126600268	126627252	+	298.7040616	PHAX
5	126553302	126553402	-	0	RNU6-290P
5	126531200	126595418	-	150.0805773	ALDH7A1
5	125966777	125968085	-	0	RPSAP37
5	125265528	125265651	+	0	HMGB1P22
5	124636913	124748807	-	646.1066622	ZNF608
5	124220579	124221077	-	0	HMGB1P29
5	124059794	124405079	-	0	LINC01170
5	123636110	123637403	+	0	KRT18P16
5	123512099	123617045	+	191.4660027	CSNK1G3
5	123468781	123469429	-	0	HMGB3P17
5	123400922	123402344	-	22.69695535	KRT8P33
5	123344885	123423592	-	293.5472891	CEP120
5	123089121	123194266	+	0.829335095	PRDM6
5	123070782	123071080	+	0	RN7SL711P
5	123023250	123036741	-	39.34138927	PPIC
5	123022487	123022783	-	0.847194702	RN7SL689P
5	122843439	123029354	+	102.510559	SNX24
5	122774996	122830108	+	972.5795183	SNX2
5	122675795	122676755	+	0	ARGFXP1
5	122436497	122479087	-	0	MGC32805
5	122311354	122464219	+	1.513130356	SNCAIP
5	122129513	122153571	+	2.914185967	ZNF474
5	122063195	122078360	-	7.464015856	LOX
5	121961961	122075570	+	69.46996559	SRFBP1
5	121851955	121852833	+	0	FTMT
5	121575848	121576320	-	0	RPL23AP44
5	120710698	120710840	-	0	RNU4-69P
5	120464278	120687332	+	7.1030776	PRR16
5	120337549	120337653	-	0	RNU6-718P
5	119629559	119635822	+	0	FAM170A
5	119555250	119555658	-	0	FABP5P6
5	119452443	119637199	+	12700.29578	HSD17B4
5	119445716	119445833	+	0	RNA5SP190
5	119306343	119306631	-	0	RN7SL174P
5	119268692	119399688	+	853.405521	TNFAIP8
5	119154637	119154716	+	0	MIR5706
5	119138859	119138965	+	0	RNU6-701P
5	119132651	119132882	-	0	LAMTOR3P2
5	119037772	119249138	+	627.2017521	DMXL1
5	119007571	119007668	+	0	RNU6-373P
5	118973796	118974122	+	5.805345666	PTMAP2
5	118837322	118988545	-	27.23634642	DTWD2
5	118758211	118758274	+	0	RNU7-34P
5	117778826	117779532	-	0	RPL7L1P4
5	117415509	117546298	+	0	LINC00992
5	117301104	117301442	-	0	RPL35AP15
5	116716243	116716650	+	0	RPS17P2
5	116562562	116562930	+	0	RPS14P8
5	116447547	116508276	+	4.146675476	SEMA6A-AS1
5	116443616	116574934	-	43.95476004	SEMA6A
5	116218026	116218295	-	0	HMGN2P27
5	116188455	116188552	-	0	RNU6-644P
5	116084991	116412762	+	63.55147497	COMMD10
5	116032324	116060118	+	0	ARL14EPL
5	115974513	115976275	-	0	DDX43P1
5	115962454	116027619	+	4.976010571	LVRN
5	115841481	115914081	+	906.3650835	AP3S1
5	115828200	115841858	-	1716.455534	ATG12
5	115804733	115816954	-	3.026260713	CDO1
5	115774319	115774502	-	0	RNU2-49P
5	115613508	115632992	-	264.9447945	TMED7
5	115578650	115602479	-	0	TICAM2
5	115578642	115626161	-	0	TMED7-TICAM2
5	115520908	115544894	-	633.6120127	FEM1C
5	115512077	115513694	+	0.829335095	CCT5P1
5	115402380	115402962	+	0	AK3P4
5	115289036	115289330	-	0	HMGN1P15
5	115267188	115296831	-	56.76204506	CCDC112
5	115204012	115262872	-	384.3351105	PGGT1B
5	115148764	115149644	-	0	TRIM36-IT1
5	115124762	115180546	-	46.62697547	TRIM36
5	114253513	114253754	+	0	RN7SKP89
5	114055545	114496500	+	0	KCNN2
5	113513683	113595285	+	397.0620378	YTHDC2
5	113493835	113493960	+	0	RNU4ATAC13P
5	113432554	113435031	-	0	TSSK1B
5	113022099	113488830	-	152.4950464	MCC
5	112976702	113020970	+	2139.566324	DCP2
5	112885094	112885745	+	14.2061552	XBP1P1
5	112876379	112922539	-	844.3267389	REEP5
5	112861188	112898371	+	61.1979053	SRP19
5	112778363	112778469	+	0	RNU6-482P
5	112777630	112778161	-	0	CBX3P3
5	112707498	112846239	+	2375.061563	APC
5	112452703	112452989	-	0	HMGB3P16
5	112161485	112161617	+	0	SNORA13
5	112160526	112164276	+	114.9979071	EPB41L4A-AS1
5	112142441	112419316	-	2.13092328	EPB41L4A
5	111912508	112017309	+	0	NREP-AS1
5	111846050	111846566	-	0	HMGN1P14
5	111719769	111720061	-	0	RN7SKP57
5	111662621	111997464	-	10.19965088	NREP
5	111572102	111572239	-	0	HMGN1P13
5	111512226	111739726	+	2.914185967	STARD4-AS1
5	111496033	111512590	-	243.1448796	STARD4
5	111223653	111494886	+	253.311216	CAMK4
5	111192226	111193042	-	8.293350951	AC010468.1
5	111091716	111130502	+	180.4524716	WDR36
5	111070062	111078024	+	0	TSLP
5	110948029	110950780	-	0	BCLAF1P1
5	110738136	110765161	+	254.1584107	SLC25A46
5	110513829	110513915	-	0	MIR548F3
5	110289233	110738956	-	1.42061552	TMEM232
5	109884610	109885423	-	0	PGAM5P1
5	109699500	109699834	-	0	RN7SKP230
5	109689366	109869625	+	735.1685316	MAN2A1
5	109588338	109589592	+	0	KRT18P42
5	109334709	109409994	-	5598.262593	PJA2
5	109051315	109052457	-	0	GJA1P1
5	109014834	109014940	-	0	RNU6-47P
5	108747822	109196841	+	107.8135624	FER
5	108727825	108728260	-	6.777557619	LINC01023
5	107859035	108382098	-	129.6812755	FBXL17
5	107810629	107810924	+	0	RN7SKP122
5	107734773	107735066	-	0	RN7SL782P
5	107376889	107670895	-	93.71486575	EFNA5
5	107195156	107195332	+	0	PSMC1P5
5	105922994	105923108	-	0	RNA5SP189
5	105099473	105100098	+	0	RAB9BP1
5	104780288	104780389	-	0	RNU6-334P
5	104260531	104260826	-	0	RN7SL255P
5	104098874	104099038	+	0	RNU1-140P
5	103548855	103562793	-	8.7425579	NUDT12
5	103430406	103526618	-	1.513130356	PDZPH1P
5	103258702	103278660	+	194.0644123	C5orf30
5	103120149	103212799	+	822.626056	PPIP5K2
5	103086000	103120151	-	69.9404632	GIN1
5	103032376	103033031	+	1.457092983	EIF3KP1
5	102753981	103031105	+	783.916025	PAM
5	102609156	102671559	-	0	LINC00491
5	102581368	102617589	+	0	LINC00492
5	102371782	102499016	-	0	SLCO6A1
5	102302504	102302810	+	0	RN7SKP68
5	102233986	102296549	-	336.5884791	SLCO4C1
5	102131007	102131135	-	0	RNA5SP188
5	101816475	101816780	-	0	OR7H2P
5	101581830	101582128	+	0	RN7SL802P
5	100816482	100816565	-	0	MIR548P
5	100806935	100903266	-	3110.051752	ST8SIA4
5	100733058	100733386	+	0	RN7SKP62
5	100535305	100586741	+	650.6460533	FAM174A
5	100153672	100153779	+	0	RNU6-1119P
5	100051920	100052597	-	0	MTATP6P2
5	100046977	100048785	-	0	MTND5P10
5	99996547	99997932	+	0	EEF1A1P20
5	99532628	99534611	+	0	GUSBP8
5	98889731	98889833	+	0	RNU6-402P
5	98853985	98928957	-	5059.026838	CHD1
5	98833382	98833711	+	0	CSNK1A1P3
5	98769618	98773469	-	3.5515388	RGMB-AS1
5	98768650	98798643	+	21.85639475	RGMB
5	98576341	98577260	+	0	CTBP2P4
5	98402542	98402732	-	0	MRPS35P2
5	98392070	98393530	-	0	KRT8P32
5	97504696	97671046	+	0	LINC01340
5	97368776	97370421	+	0	YTHDF1P1
5	97175950	97176113	-	0	RNU1-73P
5	97160867	97183260	-	111.8297007	RIOK2
5	97091867	97142872	-	1.513130356	LIX1
5	97056402	97057358	-	0	SETP22
5	96935394	97037515	+	1129.389338	LNPEP
5	96875939	96919716	+	699.1294852	ERAP2
5	96784777	96785999	+	1.513130356	AC008906.1
5	96760810	96808100	-	1146.436725	ERAP1
5	96525267	96779595	+	9193.780045	CAST
5	96390415	96434143	-	1.694389405	PCSK1
5	96210121	96210227	-	0	RNU6-524P
5	96079138	96079212	+	0	MIR583
5	95973041	95973446	-	0	FABP5P5
5	95885098	95962071	-	5401.890515	ELL2
5	95852232	95860133	+	9.952021142	LINC01554
5	95849309	95849855	+	7.81338536	AC008592.5
5	95835943	95852721	-	5.68246208	AC008592.4
5	95834424	95835046	-	19.07470719	AC008592.3
5	95768999	95770700	+	2.84123104	HSPD1P11
5	95751319	95823005	-	1488.805065	GLRX
5	95713522	95824383	+	363.1512855	RHOBTB3
5	95652181	95698711	-	7.565651782	SPATA9
5	95646754	95684773	+	13.55511524	RFESD
5	95620078	95622142	+	39.81815101	GPR150
5	95555074	95605064	+	43.32877336	ARSK
5	95521369	95521475	+	0	RNU6-308P
5	95461755	95555007	-	543.3854364	TTC37
5	95391344	95450454	+	0	FAM81B
5	94825961	94826694	-	7.565651782	RPL7P18
5	94703741	95284575	-	2255.791459	MCTP1
5	94618347	94739436	+	161.7203436	SLF1
5	94568929	94569470	-	0	MTND6P3
5	94567461	94568909	+	0.71030776	MTND5P12
5	94152966	94618597	-	172.5016998	KIAA0825
5	93733220	93741637	-	3.388778809	POU5F2
5	93682838	93683667	-	11.61069133	NPM1P27
5	93620696	93620788	-	0	MIR2277
5	93618069	94111699	-	396.3292915	FAM172A
5	93583224	93594615	+	36.31512855	NR2F1
5	93409359	93585648	-	39.34151055	NR2F1-AS1
5	93267429	93268425	+	0	POLD2P1
5	92889387	92890840	-	0	CCT7P2
5	92840807	92841628	-	0	LDHBP3
5	91843687	91844529	-	0	PCBP2P3
5	91476382	91477018	+	0	RAB5CP2
5	91380349	91439085	+	21.85639475	ARRDC3-AS1
5	91368724	91383359	-	3899.336928	ARRDC3
5	91270727	91270867	+	6.634680761	RNU4-90P
5	91054834	91314547	-	3985.585359	LUCAT1
5	90529344	91164437	+	67.02627723	ADGRV1
5	90515611	90529584	-	730.8419621	LYSMD3
5	90471748	90514553	+	18.46800176	POLR3G
5	90458203	90474768	-	25.57107936	MBLAC2
5	90392261	90409786	-	43.20692982	CETN3
5	90158339	90290071	-	0	LINC01339
5	90016621	90016720	-	0	MIR3660
5	88883328	89466398	+	34.09477248	MEF2C-AS1
5	88717117	88904257	-	547.3611628	MEF2C
5	88666853	88666939	-	0	MIR9-2
5	88507546	88691041	-	0	LINC00461
5	88381957	88382725	+	0	RPS3AP22
5	88274258	88274376	-	1.513130356	RNA5SP187
5	88268895	88436685	+	52.52607155	TMEM161B-AS1
5	88189633	88269476	-	166.4443392	TMEM161B
5	87420341	87420447	-	0	RNU6-727P
5	87318416	87413019	-	1314.496126	CCNH
5	87299687	87299797	-	0	RNU6-606P
5	87294189	87294473	-	0	RN7SL629P
5	87267888	87391931	+	626.0768851	RASA1
5	87114879	87114954	-	0	MIR4280
5	87102603	87102846	-	0	RN7SKP34
5	86663144	86663250	-	0	RNU6-804P
5	86617904	86620962	+	607.4386016	COX7C
5	86282460	86296463	+	0	NBPF22P
5	86087526	86087847	+	0	PTP4A1P4
5	85762559	85763138	+	0	RPS2P25
5	85464434	85465310	+	0	RPL5P17
5	85190629	85190830	-	0	RBBP4P6
5	84196883	84196989	+	0	RNU6-448P
5	83940554	84384793	-	0	EDIL3
5	83803554	83803685	+	0	RNU4-11P
5	83703448	83703543	+	0	RNU6-620P
5	83685866	83686018	+	0	RN7SKP295
5	83637805	83721613	-	0	HAPLN1
5	83531352	83581320	-	0	VCAN-AS1
5	83471465	83582303	+	340.4543302	VCAN
5	83426676	83427030	+	0	FTH1P9
5	83279921	83280644	-	0	COQ10BP2
5	83077498	83353787	+	100.8161696	XRCC4
5	83052846	83077863	-	1391.62429	TMEM167A
5	82968888	82977153	+	0	ST13P12
5	82850864	82859836	-	0	LINC01338
5	82777797	82778586	+	0	RPL5P16
5	82279462	82386977	+	16.5867019	ATP6AP1L
5	82273358	82278577	-	794.8343834	RPS23
5	82078427	82078724	+	0	RN7SL378P
5	82073055	82073702	-	0	ATG10-AS1
5	82009602	82010094	-	0	PPIAP11
5	81991995	81992481	+	0	ATG10-IT1
5	81972025	82276857	+	31.77573748	ATG10
5	81413021	81751797	-	190.618808	SSBP2
5	81330005	81394179	-	0	ACOT12
5	81301590	81313297	+	323.1900308	ZCCHC9
5	81233285	81266397	+	6.634680761	CKMT2
5	81204084	81301560	-	32.67415696	CKMT2-AS1
5	80960672	81230156	+	31.77573748	RASGRF2
5	80947697	80960907	-	1.513130356	RASGRF2-AS1
5	80654648	80876460	+	63.53960268	MSH3
5	80650000	80650086	-	0	MTRNR2L2
5	80626228	80654983	-	71.030776	DHFR
5	80608623	80622524	-	0	LINC01337
5	80603383	80603644	-	0	DBIP2
5	80556755	80570488	-	4.37127895	ANKRD34B
5	80500332	80501400	+	15.62677072	RPL7P24
5	80487969	80542563	+	87.08018499	FAM151B
5	80408013	80479350	+	5707.322852	ZFYVE16
5	80365726	80365832	-	0	RNU6-211P
5	80359080	80360040	-	0	HNRNPA1P12
5	80331573	80332541	-	0	RBMX2P5
5	80319625	80321842	+	0	SPZ1
5	80288449	80289781	+	0	KRT18P45
5	80111651	80256079	-	695.033353	SERINC5
5	80052374	80083654	-	12.70792054	CTD-2201I18.1
5	80033171	80033302	-	0	TRMT112P2
5	79991311	80083287	+	25.70938795	THBS4
5	79976731	79991265	-	129.2760123	MTX3
5	79936579	79967626	+	0	LINC01455
5	79689877	79800240	+	28.19739323	CMYA5
5	79372636	79514217	-	86.65754672	HOMER1
5	79236189	79327215	+	1248.332544	JMY
5	79170234	79170335	-	0	RNY3P1
5	79111779	79132290	+	0.829335095	BHMT
5	79069717	79089466	+	2.541584107	BHMT2
5	78997606	79236038	-	6.052521426	DMGDH
5	78777209	78986087	-	219.4039017	ARSB
5	78644265	78644845	-	0	HMGB1P21
5	78485215	78770021	-	927.5489085	LHFPL2
5	78360583	78479071	+	201.2463374	SCAMP1
5	78342365	78360507	-	48.4201714	SCAMP1-AS1
5	78314916	78315025	-	0	RNU6-183P
5	78222184	78222517	+	0	ATP6V1G1P6
5	78000525	78294755	-	1158.962353	AP3B1
5	77784881	77786003	+	7.285464917	ACTBP2
5	77691166	77868780	-	608.7319598	TBCA
5	77628712	77639688	-	0	OTP
5	77582376	77583122	+	0	RPL7P23
5	77545397	77546266	+	0	RPS2P24
5	77425970	77620611	-	275.3905738	WDR41
5	77290268	77291800	+	0	ALDH7A1P1
5	77210449	77429807	+	17.416037	PDE8B
5	77146568	77147165	+	0	HMGB1P35
5	77086688	77166909	+	1.513130356	ZBED3-AS1
5	77080434	77080571	-	0	SNORA47
5	77072072	77087323	-	22.72984832	ZBED3
5	77029251	77065234	+	483.7481751	AGGF1
5	76952713	76981158	+	6.052521426	CRHBP
5	76948791	76948870	+	0	RNU6ATAC36P
5	76850001	76921650	+	27.70200264	S100Z
5	76836900	76837195	-	0	RN7SL208P
5	76818933	76835315	+	1409.731985	F2RL1
5	76716043	76735781	+	72.85464917	F2R
5	76615482	76623434	-	4.97215432	F2RL2
5	76403249	76708132	+	1225.415199	IQGAP2
5	76376675	76377149	+	0	SNRPCP2
5	76285542	76311462	-	7.624752321	AC113404.1
5	76280956	76281267	+	0	PDCD5P2
5	76242024	76242404	-	1.457092983	HMGN2P4
5	76091708	76091801	-	0	RNA5SP186
5	76083172	76353939	+	3.317340381	SV2C
5	76075531	76075920	+	0	SAP18P1
5	75910565	75911867	+	0	BIN2P2
5	75752570	75753479	-	0	SLC25A5P9
5	75709495	75709599	-	0	RNU6-680P
5	75674124	75717481	-	102.9946252	POC5
5	75611459	75671846	+	6.634680761	ANKDD1B
5	75538598	75538658	-	0	RNU7-175P
5	75511756	75601144	+	198.2110877	POLK
5	75356345	75512138	-	2430.431096	COL4A3BP
5	75336329	75362104	+	3888.745016	HMGCR
5	75225424	75225668	+	0	SUMO2P5
5	75068275	75236878	-	4.37127895	ANKRD31
5	75047719	75052843	-	2.914185967	LINC01336
5	75025346	75030899	-	69.60399639	GCNT4
5	74990189	74990637	-	0	RPL27AP5
5	74779309	74779413	+	0	RNU6-1330P
5	74777574	74866951	-	20.39930177	FAM169A
5	74766991	74780113	+	314.7320844	NSA2
5	74725099	74725204	-	1.457092983	RNU6-658P
5	74721204	74767371	-	235.531167	GFM2
5	74640023	74722647	+	6402.054538	HEXB
5	74627406	74641424	-	554.7503606	ENC1
5	74369376	74536976	-	1.513130356	LINC01331
5	74327995	74334766	-	0	LINC01332
5	74322486	74328297	+	0	LINC01333
5	74317986	74318285	+	0	RN7SL814P
5	74306410	74308325	-	0	LINC01335
5	73828012	73828073	-	0	RNU7-196P
5	73626158	73941993	+	31.34620399	ARHGEF28
5	73565443	73583377	+	101.6633643	UTP15
5	73552335	73565686	-	472.0981266	ANKRA2
5	73498408	73505635	+	2292.508865	BTF3
5	73454187	73472896	-	0	LINC01386
5	73451498	73453395	+	0	LINC01385
5	73446357	73446984	+	0	FOXD1-AS1
5	73444827	73448527	-	0	FOXD1
5	73173195	73175143	+	0	TMEM174
5	73120292	73131817	+	26.53872304	TMEM171
5	72955981	73090522	+	1610.568755	FCHO2
5	72878591	72878663	+	0	MIR4804
5	72816312	72916733	+	2988.432454	TNPO1
5	72725419	72726151	+	0	RPL7P22
5	72442652	72507727	-	1.42061552	ZNF366
5	72417489	72418335	+	0	YBX1P5
5	72320367	72368395	+	42.36764998	PTCD2
5	72314397	72314688	-	0	RN7SL153P
5	72219409	72320646	-	220.2706226	MRPS27
5	72169467	72169540	+	0	MIR4803
5	72107234	72209570	+	89.56819028	MAP1B
5	71719163	71721048	+	0	CARTPT
5	71220356	71259238	-	4.37127895	GUSBP9
5	70900665	70918530	+	0	SERF1A
5	70860285	70860579	-	0	CDH12P1
5	70415352	70448015	+	37.32007928	GTF2H2B
5	70132679	70132973	+	0	CDH12P3
5	69639459	69679259	-	0	GUSBP3
5	69560208	69594723	+	107.8248808	GTF2H2C
5	69530613	69530717	-	0	RNU6-724P
5	69478997	69479265	-	0	RN7SL616P
5	69469883	69470136	+	0	RPS27P14
5	69364743	69370013	-	665.1267463	TAF9
5	69333929	69334249	+	4.37127895	CHCHD2P2
5	69280175	69332809	-	770.6839196	CCDC125
5	69217760	69230129	+	219.4039017	MRPS36
5	69189548	69210357	+	16.94389405	CENPH
5	69167010	69178245	+	557.4541142	CCNB1
5	69093646	69131069	+	442.8649408	SLC30A5
5	69068925	69069200	-	0	SUMO2P4
5	68970439	68970752	-	0	RN7SKP251
5	68854910	68855085	-	0	VWA8P1
5	68215720	68301821	+	1511.617226	PIK3R1
5	68159218	68159893	-	0	EEF1B2P2
5	68159061	68159146	-	0	RNU6-1232P
5	67636382	67638942	+	0	BCL9P1
5	67179613	67196799	-	56.82662635	CD180
5	67001383	67003953	-	4.146675476	MAST4-AS1
5	66662331	66662988	+	0	MAST4-IT1
5	66596361	67169595	+	126.8882696	MAST4
5	66139971	66183615	+	1540.147283	SREK1
5	65722196	65871725	+	805.2843774	NLN
5	65665928	65723035	-	2218.291135	SGTB
5	65624716	65666233	+	158.4030032	TRAPPC13
5	65604661	65604761	-	0	RNU6-540P
5	65589680	65625975	-	596.1733604	TRIM23
5	65563236	65587549	+	629.4656639	PPWD1
5	65517766	65563171	-	13.26936152	CENPK
5	65251127	65251784	-	0	RPEP1
5	65148736	65481920	-	8.7425579	ADAMTS6
5	64768930	65018763	+	99.12178018	CWC27
5	64718144	64768685	-	137.6948624	SREK1IP1
5	64674853	64675387	+	0	MRPL49P1
5	64573569	64573670	+	0	RNU6-294P
5	64539504	64539792	+	0	RN7SL169P
5	64506257	64612312	+	0	RGS7BP
5	64165844	64372869	+	0	RNF180
5	63960356	63962507	-	0	HTR1A
5	62776877	62777263	-	1.457092983	ISCA1P1
5	62578735	62581448	+	46.59570863	LRRC70
5	62512246	62512482	-	0	CKS1BP3
5	62443176	62443282	+	0	RNU6-661P
5	62403972	62628582	+	210.1042862	IPO11
5	62387254	62403939	-	107.9667795	DIMT1
5	62306162	62537249	+	379.7957195	KIF2A
5	62146665	62146946	+	0	RN7SKP157
5	61664145	61664239	-	0	RNU6-913P
5	61637708	61751763	+	0	C5orf64
5	61390668	61391871	-	2.914185967	RPL3P6
5	61332273	61546170	+	3598.035901	ZSWIM6
5	61157709	61162474	-	311.7048534	SMIM15
5	60945129	61153037	+	75.65651782	NDUFAF2
5	60891935	60893577	-	1.513130356	GNL3LP1
5	60873831	60945073	-	39.34151055	ERCC8
5	60751791	60844389	-	58.28371933	ELOVL7
5	60743563	60744970	-	0	KRT8P31
5	60630514	60630973	+	0	CAB39P1
5	60596912	60700190	-	69.60399639	DEPDC1B
5	60487713	60547657	+	0	PART1
5	60459848	60460739	-	0	SETP21
5	60304047	60304151	-	0	RNU6-806P
5	59703606	59703703	-	0	MIR582
5	59528861	59529251	+	0	NDUFB4P2
5	58969038	60522120	-	797.6756145	PDE4D
5	58822503	58823714	+	0	RPL5P15
5	58582221	58859394	+	15.62677072	RAB3C
5	58530043	58530109	-	0	MIR548AE2
5	58491435	58497090	+	2321.28576	GAPT
5	58453982	58460260	-	188.2315564	PLK2
5	58161197	58161752	+	0	PGAM1P1
5	57480016	57482809	-	2.914185967	ACTBL2
5	57422464	57424391	+	0	SALL4P1
5	57173948	57264679	+	3760.128936	GPBP1
5	56927874	56929573	+	0.847194702	AC008937.3
5	56919602	56971675	-	145.2605142	MIER3
5	56909260	56925532	+	97.62522988	SETD9
5	56815574	56896152	+	2966.955514	MAP3K1
5	56511567	56606232	-	5.828371933	C5orf67
5	56504635	56505072	-	5.828371933	RPL26P19
5	56381781	56382075	+	0	HMGN1P17
5	56297564	56297689	-	0	RNU6ATAC2P
5	56275304	56276630	-	0	PSMC1P4
5	56260333	56260446	-	0	RNA5SP185
5	56192530	56193633	+	0	C1GALT1P2
5	56146739	56146846	-	0	RNA5SP184
5	56136979	56137531	+	0	RPL17P22
5	56125671	56125770	+	0	RNU6-299P
5	56099678	56233359	-	80.14011408	ANKRD55
5	55995167	56003649	+	5.083168214	FLJ31104
5	55935095	55994993	-	563.8949845	IL6ST
5	55851379	55922853	+	4.539391069	IL31RA
5	55838801	55840025	-	0	HNRNPH1P3
5	55777469	55777587	+	0	RNA5SP183
5	55738017	55817157	+	0	DDX4
5	55625845	55773194	-	82.93350951	SLC38A9
5	55551885	55552554	-	0	AK4P2
5	55530156	55530701	-	0	RNF138P1
5	55508850	55508926	-	0	MIR5687
5	55256245	55307722	-	377.3474683	DHX29
5	55231152	55233680	-	10.19965088	CCNO
5	55219614	55227315	-	10.59191249	MCIDAS
5	55172262	55172353	-	0	MIR449C
5	55170646	55170742	-	0	MIR449B
5	55170532	55170622	-	0	MIR449A
5	55160118	55167071	+	11.01353113	GPX8
5	55112995	55173175	-	1.457092983	CDC20B
5	55102648	55110252	+	61.37079704	GZMA
5	55073015	55096553	+	0	GZMAP1
5	55024253	55034570	+	10.59191249	GZMK
5	54977864	55022671	-	1.513130356	ESM1
5	54857272	54858491	+	10.78135624	AC112198.1
5	54517759	54546585	+	2806.361086	SNX18
5	54455601	54456384	+	0	HSPB3
5	54399439	54400033	+	0	RPL37P25
5	54320944	54415125	+	0.71030776	LINC01033
5	54075518	54075583	-	0	MIR4459
5	54048007	54048308	-	0	RN7SL801P
5	53951504	53951599	-	0	MIR581
5	53912020	53912123	-	0	RNU6-272P
5	53883945	54310582	-	60.3761596	ARL15
5	53859166	53860401	+	0	ASS1P9
5	53560633	53683340	+	101.9965088	NDUFS4
5	53480409	53487134	+	0.847194702	FST
5	53095679	53110063	-	96.84034281	MOCS2
5	52989326	53094779	+	279.5742518	ITGA2
5	52889666	52889954	+	0	B3GNTL1P1
5	52787940	52804046	+	593.1470997	PELO
5	52787896	52959210	+	84.71947024	ITGA1
5	52282567	52282859	+	0	RPS17P11
5	51930808	51932036	+	0	KATNBL1P4
5	51886688	51886769	+	0	RNA5SP182
5	51409617	51410205	-	0	HMGB1P47
5	51383391	51394738	+	0	ISL1
5	51167541	51167647	-	0	RNU6-1296P
5	51055353	51055459	-	0	RNU6-480P
5	50665899	50846522	+	5411.032564	PARP8
5	50396192	50443248	-	591.6339694	EMB
5	45254950	45696498	-	0	HCN1
5	44808925	44820428	+	166.8973564	MRPS30
5	44716193	44716486	+	0	RN7SL383P
5	44388732	44413989	+	0	FGF10-AS1
5	44303544	44389706	-	0	FGF10
5	44066624	44066731	-	0	RNU6-381P
5	43666766	43667232	-	0.829335095	RPL29P12
5	43602692	43707405	+	140.9869662	NNT
5	43586918	43588223	-	0	AMD1P3
5	43571594	43603230	-	12.44002643	NNT-AS1
5	43526267	43557758	-	334.4018088	PAIP1
